"X" "Y"
1.1 20.17
6.5 30.56
7.9 31.24
4.4 26.55
2 25.49
8.6 35.93
6.9 34.7
3.7 29.82
2.2 26.15
6.4 32.45
5.1 26.3
2 26.01
8.9 30.21
3.5 26.19
6.4 28.24
1.5 28.7
2.2 25.52
1.5 22.57
1.2 24.46
7.9 34.55
5.4 27.01
7 32.78
3.4 28.34
3.1 26.87
3.2 25.89
7.2 32.12
5.3 28.83
6 29.41
3.7 29.59
1.9 28.44
5.6 30.66
8.8 34.6
4.6 27.16
3.6 27.1
3 28.18
2.8 26.63
8.6 34.98
3.9 27.76
8.4 38.3
3 29.44
6.2 30.74
5.5 27.31
5.1 29
6.4 31.22
2.7 26.78
7.2 30.64
6.8 31.34
2.1 24.15
7 33.28
6.6 30.08
1.4 20.17
5.7 30.12
1.7 24.94
6.1 30.3
2.7 26.72
5.1 33.02
3.6 27.12
6.8 28.31
4.7 30.5
3.1 23.49
9.3 36.11
7.1 28.2
2.9 26.8
9.4 36.88
4.2 27.46
7.2 32.5
5.7 31.36
7.9 32.54
4.9 28.9
4.6 31.23
5.6 28.43
2.3 24.99
7.8 33.09
7.9 33.23
9.8 35.26
5.9 33.58
3.8 29.11
7.6 32.67
3.8 27.35
9.5 35.42
9.4 28.75
9 35.63
7.1 30.38
4.7 28.09
8.5 32.5
6.5 32.16
7 32.63
3.7 25.9
2.2 28.17
9.8 34.75
7.5 34.22
8 34
6.7 30.75
4.6 29.48
4.4 27.19
4.5 28.41
3.6 23.51
8 28.87
8.1 34.47
3.2 26.1
